volatile acidity,citric acid,chlorides,sulphates,alcohol,quality
0.7,0,0.076,0.56,9.4,5
0.88,0,0.098,0.68,9.8,5
0.76,0.04,0.092,0.65,9.8,5
0.28,0.56,0.075,0.58,9.8,6
0.7,0,0.076,0.56,9.4,5
0.66,0,0.075,0.56,9.4,5
0.6,0.06,0.069,0.46,9.4,5
0.65,0,0.065,0.47,10,7
0.58,0.02,0.073,0.57,9.5,7
0.5,0.36,0.071,0.8,10.5,5
0.58,0.08,0.097,0.54,9.2,5
0.5,0.36,0.071,0.8,10.5,5
0.615,0,0.089,0.52,9.9,5
0.61,0.29,0.114,1.56,9.1,5
0.62,0.18,0.176,0.88,9.2,5
0.62,0.19,0.17,0.93,9.2,5
0.28,0.56,0.092,0.75,10.5,7
0.56,0.28,0.368,1.28,9.3,5
0.59,0.08,0.086,0.5,9,4
0.32,0.51,0.341,1.08,9.2,6
0.22,0.48,0.077,0.53,9.4,6
0.39,0.31,0.082,0.65,9.7,5
0.43,0.21,0.106,0.91,9.5,5
0.49,0.11,0.084,0.53,9.4,5
0.4,0.14,0.085,0.63,9.7,6
0.39,0.16,0.08,0.56,9.3,5
0.41,0.24,0.08,0.59,9.5,5
0.43,0.21,0.106,0.91,9.5,5
0.71,0,0.08,0.55,9.4,5
0.645,0,0.082,0.59,9.8,6
0.675,0.07,0.089,0.54,10.1,5
0.685,0,0.105,0.57,10.6,6
0.655,0.12,0.083,0.66,9.8,5
0.605,0.12,0.073,0.52,9.4,6
0.32,0.25,0.103,0.55,9.2,5
0.645,0,0.086,0.55,9.6,6
0.6,0.14,0.086,0.6,10.8,6
0.38,0.28,0.066,0.73,9.7,7
1.13,0.09,0.172,0.48,9.8,4
0.45,0.36,0.074,0.83,10.5,5
0.45,0.36,0.074,0.83,10.5,5
0.61,0.3,0.088,0.51,9.3,4
0.49,0.2,0.332,0.9,10.5,6
0.66,0.22,0.069,1.2,10.3,5
0.67,0.02,0.05,0.52,9.5,5
0.52,0.15,0.054,0.56,13.1,4
0.935,0.43,0.114,0.73,9.2,5
0.29,0.52,0.113,0.58,9.5,5
0.4,0.23,0.066,0.56,9.2,5
0.31,0.37,0.074,0.58,9.2,5
0.66,0.26,0.074,0.74,9.2,5
0.52,0.04,0.069,0.63,9.4,6
0.5,0.04,0.068,0.64,9.4,6
0.38,0.36,0.081,0.56,9.4,5
0.51,0.15,0.11,0.63,10.2,6
0.62,0.04,0.084,0.53,9.5,5
0.42,0.57,0.07,0.63,9.6,5
0.63,0.12,0.111,0.77,9.4,5
0.59,0.18,0.076,0.59,10,5
0.39,0.31,0.074,0.54,9.4,6
0.4,0.4,0.079,0.64,9.2,5
0.69,0.49,0.115,0.71,9.3,5
0.52,0.16,0.085,0.62,9.5,7
0.735,0.05,0.081,0.57,9.8,5
0.725,0.05,0.086,0.39,10.9,5
0.725,0.05,0.086,0.39,10.9,5
0.52,0.11,0.079,0.58,9.6,5
0.705,0.07,0.076,0.58,10.7,5
0.32,0.57,0.074,0.79,10.7,5
0.705,0.05,0.074,0.95,10.5,6
0.63,0.08,0.076,0.54,9.5,6
0.67,0.23,0.088,0.48,9.5,5
0.69,0.22,0.084,0.48,9.5,5
0.675,0.26,0.084,0.53,9.2,4
0.32,0.54,0.094,0.82,9.6,5
0.41,0.64,0.093,0.66,10.5,5
0.41,0.64,0.093,0.66,10.5,5
0.785,0,0.104,0.55,10.7,6
0.75,0.12,0.086,0.52,10.1,5
0.625,0.2,0.08,1.12,9.1,4
0.45,0.2,0.069,0.56,9.2,5
0.43,0.7,0.464,1.28,9.4,5
0.5,0.47,0.086,0.57,9.1,5
0.67,0.26,0.401,1.14,9.4,5
0.3,0.48,0.069,0.78,10.3,6
0.55,0.15,0.076,0.59,10.1,5
0.49,0.28,0.11,1.95,9.9,6
0.49,0.26,0.062,0.64,9.6,5
0.39,0.44,0.107,1.22,9.5,5
0.62,0.08,0.076,0.53,9,5
0.52,0.26,0.079,0.54,9.5,5
0.49,0.28,0.11,1.95,9.9,6
0.49,0.29,0.11,1.98,9.8,5
0.49,0.26,0.062,0.64,9.6,5
1.02,0.04,0.045,0.48,10.5,4
0.6,0.17,0.058,0.6,12.9,6
0.775,0,0.102,0.56,10.7,5
0.5,0.25,0.07,0.63,9.2,5
0.9,0.06,0.079,0.56,9.8,5
0.545,0.18,0.08,0.59,9,6
0.61,0.3,0.084,0.61,10.2,6
0.5,0.3,0.075,0.56,10.4,6
0.545,0.18,0.08,0.59,9,6
0.575,0.22,0.077,0.51,9.2,5
0.49,0.24,0.07,0.48,9.4,5
0.575,0.22,0.077,0.51,9.2,5
0.41,0.68,0.467,1.31,9.3,5
0.63,0.31,0.088,0.79,9.3,5
0.33,0.53,0.091,0.8,9.6,6
0.785,0.52,0.122,0.69,9.3,5
0.56,0.19,0.104,0.93,9.5,5
0.62,0.09,0.084,0.66,9.8,5
0.6,0.1,0.085,0.66,9.8,5
0.31,0.44,0.08,0.67,9.7,6
0.56,0.19,0.104,0.93,9.5,5
0.4,0.31,0.09,0.63,10.5,6
0.54,0.28,0.077,0.61,10,6
0.56,0.12,0.082,0.5,9.4,6
0.55,0.04,0.119,0.6,10.9,6
0.69,0.08,0.097,0.54,9.2,6
1.07,0.09,0.178,0.57,9,5
0.55,0.04,0.119,0.6,10.9,6
0.695,0,0.075,0.52,9.2,5
0.71,0,0.08,0.53,9.5,5
0.5,0.17,0.082,0.48,9.5,5
0.62,0.04,0.146,0.7,9.4,5
1.33,0,0.081,0.49,10.9,5
1.33,0,0.082,0.48,10.9,5
0.59,0.16,0.065,0.92,10.5,7
0.38,0.15,0.072,0.57,9.4,5
0.745,0.56,0.118,0.66,9.4,5
0.5,0.09,0.049,0.63,13,5
0.5,0.09,0.049,0.63,13,5
0.5,0.01,0.06,0.58,9.8,6
1.04,0.05,0.084,0.55,9.9,6
0.745,0.11,0.09,0.82,9.6,5
0.715,0.15,0.089,0.77,9.5,5
0.415,0.36,0.081,0.64,9.2,5
0.56,0.19,0.081,0.54,9.5,5
0.56,0.19,0.081,0.54,9.5,5
0.745,0.11,0.09,0.82,9.6,5
0.715,0.15,0.089,0.77,9.5,5
0.34,0,0.05,0.79,14,6
0.39,0.08,0.066,0.58,9.4,5
0.34,0,0.05,0.79,14,6
0.67,0.55,0.117,0.62,9.4,5
0.68,0.02,0.087,0.52,10,5
0.49,0.26,0.236,0.8,9.3,5
0.49,0.1,0.074,0.58,10.2,6
0.4,0.44,0.089,0.61,10.5,6
0.33,0.47,0.077,0.53,10.3,6
0.52,1,0.61,2,9.4,4
0.6,0.03,0.095,0.54,10.1,5
0.6,0.03,0.095,0.54,10.1,5
0.43,0.42,0.07,0.72,10.5,5
0.43,0.42,0.071,0.71,10.5,5
0.43,0.42,0.07,0.72,10.5,5
0.43,0.42,0.071,0.71,10.5,5
0.68,0,0.073,0.5,9.3,5
0.6,0.18,0.079,0.57,9.3,6
0.95,0.03,0.09,0.56,9.6,5
0.68,0.02,0.072,1.08,9.2,4
0.53,0.04,0.076,0.56,10,6
0.6,0.26,0.07,0.49,9.4,5
0.59,0.26,0.07,0.49,9.4,5
0.63,0.48,0.1,0.62,9.5,5
0.64,0.1,0.085,0.52,10.2,5
0.55,0.03,0.072,0.48,9,4
0.63,0.07,0.089,0.55,10.4,6
0.705,0.24,0.36,1.59,9.5,5
0.885,0.03,0.058,0.33,9.1,4
0.42,0.17,0.073,0.61,9.2,6
0.42,0.17,0.073,0.61,9.2,6
0.62,0.05,0.068,0.57,11.5,6
0.38,0.21,0.08,0.47,9.5,5
0.5,0.04,0.085,0.78,9.5,5
0.38,0.21,0.08,0.47,9.5,5
0.52,0.42,0.087,0.61,10.5,6
0.805,0,0.068,0.56,9.6,5
0.61,0.14,0.067,0.59,9.5,5
0.61,0.14,0.067,0.59,9.5,5
0.61,0.49,0.27,1.02,9.3,5
0.73,0.02,0.076,0.52,9.3,5
0.61,0.2,0.077,0.58,9.3,5
0.62,0.21,0.079,0.58,9.3,6
0.31,0.57,0.111,0.53,9.7,5
0.39,0.48,0.082,0.55,9.2,5
0.705,0.1,0.084,0.49,9.7,5
0.5,0.33,0.084,0.55,9.5,5
0.49,0.32,0.082,0.55,9.5,5
0.5,0.35,0.077,0.62,9.4,5
0.37,0.25,0.074,0.62,9.8,6
0.63,0.12,0.099,0.61,9.5,5
0.55,0.21,0.071,0.55,9.7,5
0.55,0.21,0.071,0.55,9.7,5
0.59,0.33,0.074,0.54,9.4,5
0.58,0.3,0.074,0.59,10.2,5
0.3,0.6,0.067,0.97,10.1,6
0.835,0.08,0.046,0.85,13,7
1.09,0.06,0.061,0.43,11.4,4
0.32,0.47,0.056,0.82,10.3,7
0.37,0.48,0.097,1.03,9.3,5
0.5,0.11,0.075,0.79,9.5,5
0.42,0.35,0.088,0.55,9.2,5
0.43,0.36,0.089,0.56,9.2,6
0.3,0.74,0.095,0.77,10.8,7
0.3,0.74,0.095,0.77,10.8,7
0.57,0.31,0.069,0.53,9.3,5
0.44,0.28,0.1,0.67,9.4,5
0.3,0.58,0.054,0.88,10.5,7
0.53,0.6,0.039,0.86,12.4,6
0.725,0.24,0.083,0.56,10,6
0.44,0.64,0.059,0.67,10.2,6
0.57,0.26,0.06,0.43,10.1,5
0.735,0.08,0.092,0.71,9.8,6
0.49,0.49,0.06,0.76,10.5,5
0.625,0.16,0.101,0.57,11,5
0.725,0.22,0.072,0.55,9.1,5
0.49,0.19,0.076,0.54,9.7,5
0.53,0.33,0.08,0.6,9.5,5
0.34,0.37,0.082,0.59,9.4,6
0.53,0.26,0.101,0.57,9.4,5
0.61,0.04,0.057,0.6,9.5,5
0.645,0.25,0.083,0.6,10,6
0.635,0.36,0.089,0.57,10.4,4
0.43,0.25,0.073,0.58,10.5,6
0.59,0.5,0.337,1.61,9.5,6
0.82,0.14,0.089,0.63,9.8,5
0.43,0.25,0.073,0.58,10.5,6
0.52,0.25,0.081,0.5,11,5
0.48,0.04,0.054,0.62,12.2,7
0.38,0.06,0.078,0.52,9.9,6
0.37,0.2,0.09,0.7,9.6,6
0.52,0.25,0.081,0.5,11,5
1,0.09,0.065,0.55,9,6
0.63,0,0.097,0.58,9,6
0.63,0,0.097,0.58,9,6
0.645,0,0.097,0.58,9.2,6
0.63,0,0.097,0.58,9,6
1,0.09,0.065,0.55,9,6
0.635,0.37,0.263,1.09,9.3,5
0.38,0.56,0.093,0.71,10.9,6
0.58,0.1,0.102,0.49,9.8,6
0.21,0.44,0.075,0.84,9.2,7
0.21,0.44,0.075,0.84,9.2,7
0.66,0,0.084,0.96,9.9,6
0.68,0.07,0.075,0.52,9.5,5
0.6,0.17,0.072,0.45,9.3,5
0.53,0.06,0.074,0.48,9.8,6
0.66,0,0.084,0.96,9.9,6
0.32,0.44,0.063,0.78,10,6
0.6,0,0.074,0.7,9.9,6
0.35,0.48,0.09,0.53,10.5,5
0.775,0.42,0.092,0.59,9.5,5
0.6,0,0.074,0.7,9.9,6
0.57,0.23,0.073,0.57,9.3,5
0.34,0.37,0.075,0.62,9.2,5
0.695,0,0.075,0.67,9.2,5
0.41,0.76,0.611,1.26,9.4,5
0.31,0.47,0.085,0.8,10.5,7
0.33,0.23,0.077,0.65,9.3,5
0.975,0.04,0.087,0.6,9.4,4
0.52,0.03,0.07,0.57,10,5
0.37,0.23,0.077,0.67,9.3,5
0.56,0.49,0.064,0.87,10.9,5
0.26,0.52,0.071,0.72,10.2,7
0.87,0,0.096,0.72,9.8,4
0.35,0.46,0.078,0.86,12.8,8
0.54,0.04,0.077,0.91,9.4,6
0.18,0.51,0.104,0.97,10.1,6
0.545,0.06,0.087,0.67,10.7,6
0.18,0.51,0.104,0.97,10.1,6
0.37,0.58,0.071,0.78,10.1,5
0.715,0.2,0.076,0.64,9.4,5
0.65,0.18,0.088,0.77,9.4,5
0.545,0.06,0.087,0.67,10.7,6
0.54,0.04,0.077,0.91,9.4,6
0.18,0.51,0.104,0.97,10.1,6
0.32,0.45,0.073,0.82,12.6,8
0.4,0.32,0.087,0.77,10.5,7
0.26,0.44,0.071,0.82,9.3,6
0.27,0.68,0.358,1.08,9.9,7
0.52,0.12,0.067,0.57,9.1,5
0.4,0.32,0.087,0.77,10.5,7
0.59,0.07,0.102,0.71,9.8,5
0.59,0.07,0.102,0.71,9.8,5
0.45,0.55,0.073,0.76,10.3,6
0.4,0.12,0.092,0.7,10.3,6
0.52,0.09,0.091,0.86,10.6,7
0.42,0.53,0.105,0.95,9.2,5
0.52,0.09,0.091,0.86,10.6,7
0.2,0.48,0.343,0.71,10.5,5
0.55,0.23,0.091,0.64,10.3,6
0.36,0.25,0.098,0.6,10.1,6
0.34,0.52,0.094,0.81,9.5,6
0.5,0.46,0.073,0.64,9.5,5
0.83,0.37,0.086,0.52,9.9,5
0.63,0.06,0.083,0.73,9.6,5
0.65,0.02,0.094,0.8,9.7,5
0.67,0.06,0.08,0.71,9.6,5
0.53,0.06,0.086,0.59,10.7,6
0.18,0.48,0.068,0.64,10.1,6
0.705,0.12,0.092,0.72,10,5
0.67,0.12,0.186,0.54,9.5,5
0.65,0.6,0.112,0.52,9.2,5
0.53,0.48,0.063,0.59,9.3,6
0.62,0.32,0.082,0.52,9.4,5
0.41,0.42,0.213,0.62,9.5,6
0.43,0.44,0.214,0.63,9.5,6
0.29,0.38,0.062,0.53,9.5,6
0.53,0.48,0.063,0.59,9.3,6
0.53,0.24,0.072,0.54,9.4,6
0.46,0.31,0.093,0.63,9.5,6
0.47,0.3,0.076,0.53,9.4,5
0.36,0.29,0.087,0.68,11,5
0.35,0.29,0.096,0.65,11,6
0.56,0.23,0.102,0.65,10.1,5
0.77,0.12,0.082,0.64,10.4,6
0.66,0.39,0.083,0.71,11.5,7
0.77,0.12,0.082,0.64,10.4,6
0.66,0.39,0.083,0.71,11.5,7
0.61,0.26,0.09,0.62,9.7,5
0.62,0.05,0.079,0.63,9.3,5
0.59,0.42,0.09,0.7,9.5,6
0.49,0.2,0.071,0.69,9.2,6
0.49,0.2,0.071,0.69,9.2,6
0.53,0.66,0.121,0.74,11.5,7
0.44,0.5,0.107,0.83,11.5,5
0.27,0.62,0.082,0.67,9.7,6
0.46,0.39,0.061,0.62,9.5,5
0.36,0.64,0.122,0.66,12.5,6
0.36,0.64,0.122,0.66,12.5,6
0.58,0.28,0.066,0.54,9.4,6
0.56,0.08,0.105,0.52,11,5
0.65,0.01,0.078,0.74,11.7,7
0.695,0.53,0.128,0.84,12.2,7
0.43,0.45,0.052,0.7,12.5,6
0.43,0.32,0.08,0.64,10.3,5
0.49,0.58,0.103,1,11.5,6
0.28,0.54,0.082,1.36,9.8,7
0.34,0.5,0.066,1.18,9.2,6
0.42,0.48,0.065,0.87,11.3,6
0.39,0.47,0.118,0.75,9.8,6
0.39,0.47,0.118,0.75,9.8,6
0.57,0.5,0.082,0.78,10.7,6
0.685,0,0.067,0.81,9.9,5
0.815,0.02,0.072,0.89,12.3,7
0.49,0.67,0.093,0.93,12,6
0.56,0.31,0.089,0.92,10,6
0.785,0,0.093,0.86,9.4,6
0.67,0.22,0.107,0.98,9.9,6
0.795,0,0.096,0.83,9.4,6
0.665,0,0.09,0.73,9.3,5
0.53,0.79,0.12,0.77,13,5
0.21,0.4,0.066,0.59,11.9,6
0.75,0.01,0.078,0.61,12.8,6
0.41,0.52,0.08,0.88,11,5
0.42,0.66,0.116,0.75,11.7,7
0.43,0.66,0.109,0.85,10.4,7
0.38,0.66,0.088,0.68,9.8,6
0.7,0.23,0.099,0.7,9.4,5
0.45,0.31,0.086,0.91,9.9,6
0.58,0.66,0.072,0.56,10,5
0.46,0.63,0.071,0.87,10.2,5
0.615,0.66,0.083,0.73,10,7
0.42,0.5,0.107,0.93,11.8,6
0.615,0.66,0.083,0.73,10,7
0.575,0.61,0.076,0.69,9,5
0.34,0.52,0.159,0.64,9.4,5
0.27,0.53,0.074,1.13,12,7
0.765,0.02,0.063,0.78,9.9,5
0.24,0.4,0.056,0.87,8.7,6
0.28,0.48,0.067,1.04,10.6,6
0.55,0.22,0.106,0.63,9.2,5
0.41,0.63,0.089,0.81,10.8,6
0.54,0.71,0.124,0.83,11.8,7
0.45,0.5,0.078,1.11,11,6
0.27,0.53,0.074,1.13,12,7
0.625,0.66,0.088,0.99,13.3,6
0.42,0.38,0.094,0.7,10.8,6
0.26,0.42,0.08,0.8,9.4,6
0.415,0.68,0.085,0.8,10,6
0.26,0.42,0.08,0.8,9.4,6
0.26,0.42,0.08,0.8,9.4,6
0.51,0.28,0.087,0.74,9.2,5
0.63,0.07,0.09,0.76,9.7,6
0.54,0.26,0.088,0.74,9.2,6
0.66,0.15,0.079,0.54,9.6,6
0.46,0.26,0.088,0.74,9.2,6
0.38,0.31,0.096,0.7,10,7
0.85,0.05,0.045,0.82,12.9,8
0.415,0.68,0.085,0.8,10,6
0.37,0.52,0.082,0.51,9.5,5
0.665,0.61,0.112,0.54,9.1,5
0.6,0.65,0.063,0.57,9.9,5
0.37,0.76,0.066,0.6,13,7
0.735,0.02,0.122,0.53,9.9,5
0.59,0.59,0.087,0.65,11,6
0.59,0.59,0.087,0.65,11,6
0.765,0.22,0.064,0.55,9.4,5
0.735,0.02,0.122,0.53,9.9,5
0.26,0.3,0.059,0.47,10.8,6
0.48,0.54,0.085,0.61,10.5,6
0.6,0.49,0.085,0.63,10.5,6
0.69,0.05,0.075,0.61,9.1,5
0.31,0.46,0.059,0.76,10.1,6
0.44,0.47,0.063,0.65,10.8,6
0.39,0.66,0.093,0.63,10.8,7
0.34,0.58,0.174,0.7,11.3,6
0.46,0.49,0.07,0.57,9.6,4
0.43,0.34,0.08,0.62,9.5,6
0.45,0.35,0.08,0.62,9.5,5
0.735,0.16,0.1,0.64,9.3,5
0.4,0.53,0.097,0.82,11.7,7
0.52,0.34,0.087,0.61,9.5,5
0.725,0.24,0.117,1.07,9.3,5
0.48,0.64,0.111,0.66,11.7,6
0.58,0.12,0.091,0.48,10.5,5
0.38,0.51,0.121,0.76,10.4,6
0.77,0,0.066,0.68,9.9,5
0.56,0.33,0.089,0.73,11.8,7
0.84,0.03,0.059,0.56,12.3,7
0.96,0.2,0.047,0.44,10.9,5
0.24,0.47,0.066,0.9,11,7
0.96,0.2,0.047,0.44,10.9,5
0.84,0.03,0.059,0.56,12.3,7
0.67,0.08,0.045,0.49,11.4,6
0.78,0.22,0.077,0.56,10.6,6
0.52,0.33,0.07,0.6,9.3,5
0.84,0.63,0.088,0.6,10.4,6
0.24,0.47,0.066,0.9,11,7
0.55,0.35,0.074,0.56,9.2,5
0.37,0.69,0.078,0.65,12.8,6
0.39,0.63,0.091,0.49,9.5,5
0.41,0.55,0.076,0.89,9.9,6
0.39,0.63,0.091,0.49,9.5,5
0.67,0.3,0.06,0.56,10.2,6
0.45,0.73,0.066,0.66,11.2,6
0.41,0.55,0.076,0.89,9.9,6
0.62,0.18,0.062,0.6,9.3,5
0.31,0.72,0.072,0.82,9.8,8
0.4,0.65,0.068,0.68,11.3,6
0.685,0.76,0.1,0.68,11.2,7
0.44,0.49,0.077,0.63,11.6,7
0.57,0.01,0.054,0.84,12.5,7
0.735,0.1,0.079,0.56,10.1,6
0.38,0.6,0.081,0.73,10.5,5
0.48,0.29,0.127,0.72,11.2,5
0.53,0.22,0.1,0.56,10.2,6
0.39,0.69,0.095,0.61,10.8,6
0.39,0.69,0.095,0.61,10.8,6
0.37,0.53,0.413,1.06,9.1,6
0.56,0.03,0.084,0.63,10,6
0.33,0.63,0.084,0.74,11.2,7
0.23,0.4,0.063,0.63,11.1,5
0.62,0.67,0.086,0.69,13.4,8
0.59,0.39,0.095,0.58,10.3,5
0.63,0.21,0.097,0.58,9.6,5
0.33,0.63,0.084,0.74,11.2,7
0.58,0.66,0.074,0.57,9,3
0.43,0.52,0.083,0.61,11.3,6
0.615,0.22,0.087,0.61,9.3,5
0.26,0.68,0.085,0.61,11.8,5
0.66,0.7,0.098,0.53,9,5
0.315,0.54,0.084,0.7,9.2,6
0.29,0.4,0.098,0.91,9.7,5
0.5,0.42,0.069,0.72,11.5,6
0.46,0.45,0.065,0.79,14,6
0.36,0.69,0.09,0.62,9.2,6
0.82,0.02,0.07,0.58,9.8,5
0.32,0.65,0.093,0.61,10.6,5
0.54,0.42,0.081,0.71,11.4,6
0.37,0.55,0.083,0.82,10.4,6
0.35,0.55,0.062,0.79,10.6,5
0.28,0.51,0.08,0.89,9.4,6
0.68,0.24,0.087,0.6,10.2,5
0.27,0.41,0.091,0.7,9.7,5
0.24,0.49,0.075,1.06,11,6
0.68,0.24,0.087,0.6,10.2,5
0.685,0.11,0.077,0.7,10.1,6
0.28,0.39,0.069,0.66,9.2,5
0.3,0.56,0.08,0.92,11.7,8
0.36,0.59,0.152,1.05,9.4,5
0.36,0.6,0.152,1.06,9.4,5
0.44,0.68,0.114,0.66,13.4,6
0.67,0.39,0.054,0.47,10,5
0.67,0.39,0.054,0.47,10,5
0.645,0.36,0.053,0.42,10,6
0.32,0.55,0.081,0.92,10.8,7
0.39,0.4,0.073,0.75,10.2,6
0.775,0.27,0.078,0.67,10.6,6
0.41,0.5,0.055,0.79,13.3,7
0.4,0.51,0.052,0.9,13.4,7
0.69,0.31,0.086,0.74,11.6,6
0.39,0.23,0.051,0.55,12.1,6
0.35,0.53,0.07,0.65,11,8
0.52,0.25,0.081,0.65,9,6
0.34,0.32,0.09,0.79,11.1,5
0.35,0.53,0.07,0.65,11,8
0.69,0.31,0.086,0.74,11.6,6
0.52,0.25,0.081,0.65,9,6
0.44,0.73,0.074,0.85,12,7
0.44,0.73,0.074,0.85,12,7
0.26,0.47,0.078,1.04,10.9,7
0.24,0.42,0.077,1.05,10.8,7
0.49,0.63,0.072,0.78,12.5,7
0.24,0.46,0.075,1.02,10.8,7
0.67,0.55,0.084,0.71,9.5,6
0.59,0.31,0.09,0.63,10.2,6
0.29,0.75,0.084,0.68,11.4,7
0.42,0.49,0.073,0.61,9.5,5
0.59,0.31,0.09,0.63,10.2,6
0.4,0.48,0.125,0.81,9.7,6
0.51,0.64,0.107,0.66,11.8,7
0.51,0.64,0.107,0.66,11.8,7
0.655,0.49,0.122,1.14,9.3,5
0.6,0.49,0.1,0.74,11.9,6
0.61,0.49,0.2,0.63,8.4,3
0.21,0.49,0.088,0.68,11.7,6
0.365,0.49,0.088,0.78,11,5
0.25,0.49,0.088,0.9,10,6
0.41,0.49,0.088,0.64,9.1,5
0.39,0.49,0.099,0.99,9.8,5
0.4,0.49,0.085,0.55,9.4,5
0.43,0.49,0.086,0.64,9.5,5
0.64,0.24,0.105,0.67,9.9,5
0.365,0.49,0.088,0.78,11,5
0.38,0.49,0.097,0.77,11.4,6
0.42,0.49,0.084,0.75,8.7,6
0.63,0.24,0.077,0.57,9.4,5
0.22,0.24,0.078,0.87,10.3,6
0.38,0.49,0.098,0.61,10.3,5
0.38,0.49,0.098,0.61,10.3,5
