volatile acidity,citric acid,chlorides,sulphates,alcohol,quality
0.52,0.08,0.07,0.72,12.5,7
0.31,0.53,0.06,0.83,10.9,7
0.31,0.53,0.06,0.83,10.9,7
0.62,0.35,0.086,0.62,10.8,5
0.33,0.45,0.057,0.89,11.1,7
0.77,0.2,0.098,0.58,9.2,5
0.35,0.26,0.083,0.58,9.5,6
0.62,0.33,0.088,0.58,10.7,6
0.77,0.2,0.098,0.58,9.2,5
0.25,0.34,0.071,0.86,10.2,7
0.32,0.56,0.073,0.73,11.4,6
0.37,0.65,0.08,0.58,11,5
0.37,0.65,0.08,0.58,11,5
0.3,0.68,0.05,0.51,12.3,7
0.27,0.56,0.047,0.51,11.8,6
0.3,0.68,0.05,0.51,12.3,7
0.38,0.3,0.073,0.59,9.5,6
0.42,0.45,0.072,0.77,12,6
0.38,0.3,0.073,0.59,9.5,6
0.48,0.08,0.074,0.49,9.6,5
0.34,0.4,0.055,0.66,11.6,7
0.19,0.42,0.057,0.69,11.2,6
0.41,0.54,0.095,0.76,9.9,7
0.41,0.54,0.095,0.76,9.9,7
0.26,0.54,0.083,0.63,11.8,8
0.34,0.42,0.086,0.6,11.4,6
0.54,0.09,0.081,0.59,11.5,6
0.31,0.36,0.079,0.86,12,7
0.725,0.09,0.117,0.49,10.8,6
0.4,0.47,0.087,0.5,10.5,5
0.725,0.09,0.117,0.49,10.8,6
0.52,0.38,0.096,0.52,9.4,5
0.31,0.45,0.216,0.81,12.5,7
0.52,0.38,0.096,0.52,9.4,5
0.34,0.42,0.072,0.78,12.4,6
0.49,0.27,0.071,0.63,12,6
0.48,0.09,0.078,0.54,11.2,6
0.49,0.27,0.071,0.63,12,6
0.48,0.34,0.073,0.66,12.4,6
0.57,0.28,0.048,0.6,12.8,5
0.23,0.42,0.069,0.54,12.3,6
0.3,0.41,0.068,0.85,11.7,7
0.78,0.1,0.09,0.49,9.5,5
0.47,0.43,0.171,0.76,10.8,6
0.53,0,0.07,0.64,10,6
0.42,0.27,0.092,0.64,12.3,7
0.33,0.41,0.056,0.71,11,6
0.24,0.39,0.074,0.59,9.5,6
0.4,0.5,0.046,0.66,13.6,6
0.69,0.07,0.091,0.6,11.3,6
0.69,0.07,0.091,0.6,11.3,6
0.69,0.07,0.091,0.6,11.3,6
0.39,0.12,0.065,0.53,13.3,6
0.66,0,0.066,0.58,12.9,5
0.54,0.34,0.076,0.72,13.1,8
0.5,0,0.062,0.55,12.3,6
0.47,0,0.055,0.48,12.3,6
0.4,0.37,0.081,0.65,11.2,6
0.58,0,0.096,0.62,11.5,4
0.24,0.35,0.055,0.59,11.3,7
0.29,0.26,0.063,0.54,13.5,6
0.76,0,0.072,0.6,11.5,6
0.43,0.33,0.095,0.68,10,5
0.43,0.35,0.092,0.69,10.5,6
0.6,0,0.058,0.63,10.4,6
0.19,0.21,0.045,0.44,9.5,5
0.36,0.34,0.075,0.88,13.6,7
0.48,0.07,0.089,0.68,11.2,7
0.28,0.35,0.061,0.74,11.8,7
0.25,0.43,0.067,0.6,11.9,6
0.52,0.45,0.08,0.76,11.4,6
0.52,0.45,0.08,0.76,11.4,6
0.41,0.15,0.104,0.58,9.1,5
0.51,0.24,0.079,0.64,9.5,6
0.4,0.3,0.08,0.65,9.5,6
0.38,0.32,0.08,0.85,11,6
0.45,0.11,0.043,0.65,11.4,6
0.22,0.3,0.065,0.82,10,6
0.32,0.23,0.066,0.62,10.1,5
0.2,0.43,0.076,0.81,10.4,6
0.5,0.12,0.178,0.87,9.8,6
0.41,0.45,0.071,0.49,11.8,7
0.39,0.42,0.086,0.66,11.6,6
0.35,0.47,0.061,0.52,12,6
0.33,0.32,0.067,0.76,12.8,7
0.58,0.23,0.044,0.65,12.5,6
0.6,0.25,0.118,0.53,9.8,5
0.42,0.35,0.083,0.66,11.1,6
0.58,0,0.1,0.68,11.4,6
0.6,0.25,0.118,0.53,9.8,5
0.18,0.51,0.071,0.76,11.8,7
0.51,0.18,0.042,0.87,12.9,7
0.41,0.43,0.076,1.16,10.6,6
0.41,0.43,0.11,0.67,10.8,5
0.36,0.57,0.087,0.72,11.1,7
0.45,0.43,0.076,0.75,10.2,6
0.32,0.42,0.075,0.71,11.8,7
0.785,0.24,0.078,0.67,10,5
0.785,0.24,0.078,0.67,10,5
0.44,0.5,0.369,1.1,9.4,5
0.54,0.26,0.111,0.98,10.2,5
0.33,0.39,0.074,0.88,12.4,7
0.34,0.27,0.067,0.56,12,6
0.5,0.29,0.086,0.62,11.5,6
0.36,0.34,0.062,0.67,10.5,6
0.59,0,0.078,0.68,10.8,6
0.42,0.46,0.074,0.74,12.3,6
0.36,0.31,0.079,0.62,9.5,6
0.36,0.31,0.079,0.62,9.5,6
0.61,0,0.095,0.7,11.5,6
0.88,0.03,0.079,0.5,11.2,4
0.66,0,0.052,0.66,12.7,7
0.915,0,0.041,0.73,11.4,5
0.35,0.33,0.076,0.81,11,6
0.35,0.33,0.076,0.81,11,6
0.39,0.43,0.068,0.46,11.4,5
0.4,0.4,0.068,0.86,10.5,6
0.66,0.07,0.07,0.6,9.3,5
0.64,0.23,0.08,0.7,10.9,5
0.43,0.3,0.085,0.46,11.9,6
0.8,0.03,0.079,0.5,12.2,5
0.43,0.3,0.085,0.46,11.9,6
0.64,0.23,0.08,0.7,10.9,5
0.955,0.05,0.075,0.44,9.6,4
0.4,0.57,0.08,0.57,12.5,6
0.885,0,0.166,0.51,10.8,5
0.25,0.37,0.063,0.8,12.4,7
0.885,0,0.166,0.51,10.8,5
0.745,0.12,0.114,0.59,9.5,6
0.43,0.22,0.078,0.6,9.5,6
0.58,0.23,0.076,0.58,9.5,6
0.57,0.21,0.069,0.54,9.8,6
0.26,0.26,0.052,0.79,10.9,6
0.58,0.23,0.076,0.58,9.5,6
0.57,0.21,0.069,0.54,9.8,6
0.34,0.36,0.065,0.54,11.2,7
0.42,0.39,0.068,0.69,11.7,8
0.74,0.19,0.111,0.55,9.4,5
0.36,0.46,0.074,0.85,11,7
0.36,0.46,0.074,0.85,11,7
0.36,0.46,0.074,0.85,11,7
0.72,0.55,0.136,0.94,10,5
0.36,0.46,0.074,0.85,11,7
0.39,0.43,0.071,0.87,11.2,7
0.65,0.02,0.078,0.62,10.4,6
0.44,0.15,0.076,0.62,9.3,5
0.65,0.02,0.078,0.62,10.4,6
0.38,0.42,0.071,0.75,10.5,6
0.33,0.46,0.081,0.48,10.4,6
0.27,0.46,0.095,0.56,11.3,6
0.57,0.31,0.079,0.69,9.5,6
0.34,0.37,0.057,0.81,12,6
0.4,0.31,0.082,0.69,10.6,6
0.39,0.4,0.044,0.83,10.9,6
0.32,0.52,0.132,0.77,11.5,6
0.32,0.52,0.132,0.77,11.5,6
0.53,0.22,0.078,0.46,9.6,6
0.36,0.47,0.074,0.76,12,6
0.39,0.49,0.08,0.82,10.3,6
0.46,0.23,0.091,0.51,9.4,5
0.58,0.03,0.08,0.47,9.2,5
0.58,0.25,0.104,0.72,9.6,5
0.42,0,0.044,0.73,13.6,7
0.43,0.29,0.075,0.64,9.5,5
0.18,0.34,0.066,0.78,11.8,6
0.815,0.01,0.074,0.62,10.8,5
0.43,0.29,0.075,0.64,9.5,5
0.23,0.37,0.057,0.49,9.3,4
0.75,0.01,0.059,0.4,12.8,6
0.33,0.32,0.054,0.56,11.5,4
0.55,0,0.07,0.64,9.4,6
0.75,0.01,0.059,0.4,12.8,6
0.73,0,0.081,0.46,9.6,4
0.67,0,0.057,0.56,11.8,4
0.61,0.2,0.076,0.4,9.3,5
0.37,0.39,0.079,0.59,9.8,5
0.4,0.41,0.058,0.6,12.2,6
0.56,0.22,0.082,0.62,9.5,5
0.29,0.25,0.067,0.54,10.3,6
0.55,0.19,0.082,0.68,10.5,5
0.74,0.07,0.086,0.48,10,5
0.55,0.19,0.082,0.68,10.5,5
0.41,0.33,0.081,0.75,11.1,6
0.6,0.01,0.079,0.61,10.9,6
0.6,0.01,0.079,0.61,10.9,6
0.58,0.14,0.077,0.59,9.8,5
0.72,0,0.123,0.58,9.8,5
0.66,0,0.096,0.58,9.5,5
0.7,0.06,0.079,0.69,10.9,5
0.64,0.02,0.069,0.45,11,5
0.59,0.22,0.082,0.42,9.2,5
0.58,0.28,0.085,0.7,11,6
0.64,0,0.123,0.63,11.3,6
0.64,0,0.123,0.63,11.3,6
0.635,0.68,0.403,1.15,9.3,5
1.02,0,0.083,0.55,11.2,4
0.45,0.38,0.081,0.58,9.8,5
0.78,0,0.089,0.46,9.6,4
0.37,0.32,0.066,0.72,11.8,6
0.57,0.05,0.081,0.6,10.3,6
0.57,0.05,0.081,0.6,10.3,6
0.43,0.5,0.068,0.87,11.4,6
0.41,0.31,0.079,0.55,9.5,6
0.49,0.03,0.044,0.82,14,8
0.38,0.01,0.048,0.75,14,6
0.44,0.2,0.049,0.57,11.7,6
0.46,0,0.077,0.53,11.2,5
0.58,0.2,0.073,0.43,9.3,5
0.58,0.13,0.102,0.53,11.2,6
0.715,0.22,0.075,0.54,9.5,6
0.4,0.4,0.05,0.56,12,4
0.69,0,0.114,0.6,9.7,6
0.715,0.22,0.075,0.54,9.5,6
0.3,0.39,0.062,0.57,11.5,7
0.46,0.2,0.077,0.64,10.4,6
0.46,0.2,0.077,0.64,10.4,6
0.765,0,0.084,0.68,10.9,6
0.63,0.28,0.096,0.63,10.2,6
0.42,0.19,0.071,0.56,10.9,5
0.37,0.5,0.09,0.57,10.5,5
0.16,0.44,0.068,0.54,12.4,6
0.6,0.08,0.056,0.37,13,5
0.6,0.3,0.068,1.17,10.2,5
0.6,0.3,0.068,1.17,10.2,5
0.74,0,0.1,0.59,11,5
0.635,0.1,0.073,0.75,10.9,6
0.395,0.13,0.056,0.67,12.4,6
0.755,0,0.084,0.49,9.7,4
0.635,0.1,0.073,0.75,10.9,6
0.63,0,0.093,0.45,9.5,5
0.63,0,0.093,0.45,9.5,5
0.53,0.14,0.064,0.61,12.1,6
0.6,0,0.063,0.56,12.2,6
1.58,0,0.137,0.4,10.9,3
0.645,0,0.08,0.61,12.5,6
0.86,0.07,0.1,0.74,11.7,6
0.37,0.32,0.064,0.8,11.2,6
0.28,0.44,0.081,0.66,11.2,5
0.79,0.21,0.087,0.44,9.2,5
0.61,0.26,0.073,0.53,9.8,5
0.69,0.32,0.088,0.62,10.1,5
0.68,0.09,0.068,0.52,11.1,4
0.69,0.32,0.088,0.62,10.1,5
0.62,0.1,0.071,0.61,9.2,5
0.61,0.26,0.073,0.53,9.8,5
0.51,0.15,0.064,0.59,12.8,6
1.18,0.21,0.083,0.47,10.5,5
0.36,0.21,0.086,0.54,10.1,6
0.36,0.21,0.086,0.53,10.1,6
0.63,0.27,0.083,0.58,9.8,6
0.74,0,0.041,0.59,12.5,6
0.44,0.46,0.091,0.69,11.9,6
0.63,0.27,0.083,0.58,9.8,6
0.76,0.68,0.414,1.33,9.1,6
0.66,0.34,0.094,0.66,10.1,5
0.74,0,0.041,0.59,12.5,6
0.34,0.42,0.058,0.55,11.4,5
0.36,0.39,0.06,0.82,11,7
0.46,0.24,0.077,0.6,10.6,6
0.46,0.24,0.077,0.6,10.6,6
0.46,0.24,0.077,0.6,10.6,6
0.46,0.24,0.077,0.6,10.6,6
0.52,0.11,0.073,0.52,9.3,5
0.6,0.26,0.083,0.56,9.8,6
0.6,0.26,0.083,0.56,9.8,6
0.87,0.26,0.107,0.46,9.2,5
0.39,0.1,0.075,0.43,9.7,6
0.775,0.22,0.079,0.51,9.6,5
0.835,0,0.166,0.52,10,5
0.58,0.02,0.069,0.66,12.6,6
0.5,0,0.057,0.45,9.5,5
0.5,0,0.057,0.45,9.5,5
0.5,0,0.057,0.45,9.5,5
0.51,0.02,0.084,0.54,10.5,6
0.51,0.02,0.084,0.54,10.5,6
0.51,0.02,0.084,0.54,10.5,6
0.54,0.02,0.085,0.51,10.4,6
0.51,0.02,0.084,0.54,10.5,6
0.42,0.48,0.077,0.53,11,5
0.44,0.24,0.063,0.53,10.2,6
0.59,0.01,0.056,0.56,11.4,5
0.655,0.03,0.078,0.39,9.5,5
0.655,0.03,0.078,0.39,9.5,5
0.57,0,0.081,0.52,10.8,5
0.6,0.29,0.069,0.57,10,5
0.62,0.01,0.065,0.51,11.8,6
0.645,0.03,0.086,0.46,10.3,5
0.645,0.03,0.086,0.46,10.3,5
0.58,0.03,0.077,0.52,10,5
0.32,0.25,0.086,0.44,10.1,5
0.34,0.25,0.084,0.44,10.1,5
0.43,0.24,0.078,0.59,11.1,6
0.64,0.17,0.168,0.5,9.5,5
0.475,0.4,0.091,0.65,10.03333333,6
0.54,0.31,0.112,0.56,10.9,5
0.85,0.14,0.093,0.54,10.1,5
0.475,0.4,0.091,0.65,10.03333333,6
0.83,0.27,0.08,0.48,9.8,4
0.605,0.02,0.096,0.53,11.8,6
0.5,0.09,0.115,0.62,9.5,5
0.74,0.08,0.094,0.5,9.8,5
0.54,0.3,0.088,1.18,10.5,6
0.77,0.32,0.079,0.5,9.8,6
0.61,0,0.069,0.37,10.4,4
0.78,0.51,0.415,1.17,9.2,5
0.58,0.56,0.153,1.03,11.6,6
0.78,0.51,0.415,1.17,9.2,5
0.75,0.27,0.11,0.45,9.3,5
0.815,0,0.267,0.51,9.8,3
0.56,0.26,0.083,0.52,9.9,5
0.885,0.2,0.086,0.46,10,5
0.49,0.26,0.09,0.62,12.2,6
0.45,0.15,0.078,0.51,9.9,6
0.57,0.02,0.077,0.62,10.8,6
0.57,0.02,0.077,0.62,10.8,6
0.83,0.09,0.074,0.45,9.6,5
0.6,0.22,0.08,0.49,9.9,5
0.6,0.22,0.08,0.49,9.9,5
0.755,0.15,0.107,0.5,9.5,5
0.81,0.25,0.076,0.42,9.2,5
0.64,0.07,0.1,0.58,9.6,5
0.64,0.07,0.1,0.58,9.6,5
0.64,0.31,0.083,0.68,10.3,5
0.48,0.02,0.08,0.53,9.7,5
0.49,0,0.068,0.59,12.5,6
0.64,0.22,0.094,0.58,11,5
0.62,0.06,0.07,0.48,9.8,5
0.52,0.25,0.078,0.48,10.2,5
0.57,0.14,0.07,0.48,9.2,5
0.685,0.1,0.092,0.65,9.55,6
0.675,0.1,0.09,0.65,9.55,5
0.59,0.26,0.08,0.52,9.9,5
0.6,0.12,0.083,0.62,10.2,7
0.67,0,0.068,0.72,11.1,6
0.69,0.21,0.08,0.51,9.9,5
0.69,0.21,0.08,0.51,9.9,5
0.3,0.42,0.052,0.82,11.9,6
0.33,0.33,0.061,1.1,10,8
0.5,0.39,0.082,0.62,10.7,6
0.28,0.3,0.062,0.9,11.3,7
0.24,0.34,0.062,0.94,10.9,6
0.51,0,0.064,0.93,10.7,6
0.29,0.36,0.048,1.01,12.4,7
0.51,0,0.064,0.93,10.7,6
0.96,0,0.082,0.44,11.9,6
0.47,0.4,0.071,0.73,10.6,6
0.24,0.34,0.062,0.94,10.9,6
0.57,0.25,0.104,0.9,10.1,5
0.32,0.59,0.077,0.78,9.6,5
0.58,0,0.065,0.84,9.4,5
0.32,0.59,0.077,0.78,9.6,5
0.34,0.33,0.064,0.77,12.1,7
0.53,0.01,0.077,0.46,9.8,5
0.64,0.21,0.077,0.45,9.9,5
0.53,0.01,0.077,0.46,9.8,5
0.4,0.18,0.079,0.58,9.4,5
0.54,0,0.079,0.84,11.4,6
0.53,0.09,0.123,0.67,11,4
0.26,0.37,0.076,0.7,9.6,6
0.26,0.37,0.076,0.7,9.6,6
0.23,0.37,0.046,0.71,12.1,6
0.41,0.33,0.078,0.58,11.2,5
0.64,0,0.072,0.63,11,5
0.18,0.4,0.049,0.93,11.3,5
0.41,0.24,0.066,0.62,10.4,5
0.43,0.31,0.069,0.54,9.9,6
0.44,0,0.042,0.85,11.7,6
0.4,0.16,0.069,0.74,10.1,7
0.54,0.37,0.214,0.77,9,6
0.54,0.37,0.214,0.77,9,6
0.38,0.38,0.169,0.65,8.5,5
0.915,0.29,0.07,0.54,11.1,5
0.59,0,0.052,0.47,10.3,5
0.67,0.02,0.072,0.68,11.06666667,6
0.37,0.32,0.062,0.73,11.3,7
0.785,0.19,0.094,0.52,9.566666667,6
0.63,0.02,0.078,0.75,9.8,5
0.58,0.2,0.058,0.49,11.7,5
0.67,0.02,0.072,0.68,11.1,6
0.785,0.19,0.094,0.52,9.6,6
0.63,0.02,0.078,0.75,9.8,5
0.67,0,0.08,0.74,9.7,5
0.58,0.01,0.08,0.73,9.7,5
0.38,0.31,0.056,0.76,11.3,8
0.37,0.32,0.062,0.73,11.3,7
0.32,0.44,0.104,0.78,11,7
0.58,0.02,0.062,0.76,11.6,7
0.49,0.33,0.074,0.58,9,5
0.45,0.63,0.073,0.69,10.9,6
0.9,0,0.052,0.63,10.9,6
0.54,0.06,0.05,0.5,10.55,6
0.49,0.33,0.074,0.58,9,5
0.29,0.4,0.067,0.6,10.5,5
0.2,0.35,0.054,0.8,11.9,7
0.42,0.09,0.054,0.68,10.4,6
0.785,0,0.06,0.61,10,4
0.64,0.03,0.075,0.58,10.4,6
0.63,0.01,0.076,0.53,10.8,6
0.59,0.1,0.063,0.67,9.7,5
0.59,0.1,0.063,0.67,9.7,5
0.48,0.32,0.062,0.65,10,7
1.04,0.08,0.067,0.57,11,4
0.48,0.32,0.062,0.65,10,7
0.98,0.05,0.061,0.55,9.7,3
0.69,0.11,0.084,0.47,9.7,5
0.7,0.08,0.067,0.52,12.6,5
0.35,0.6,0.073,0.79,11.1,6
0.6,0.08,0.071,0.54,11,5
0.5,0.5,0.205,0.75,8.8,5
0.47,0.11,0.048,0.88,13.56666667,7
0.5,0.5,0.205,0.75,8.8,5
0.47,0.11,0.048,0.88,13.6,7
0.875,0.05,0.082,0.52,10.2,3
0.28,0.6,0.104,0.68,10.6,5
0.62,0.03,0.08,0.62,10.1,4
0.28,0.6,0.104,0.68,10.6,5
0.58,0.54,0.114,0.57,10.3,4
0.33,0.44,0.042,0.61,10.7,5
0.91,0.06,0.06,0.64,10.9,4
0.655,0.16,0.074,0.55,9.7,5
0.68,0.21,0.07,0.6,10.3,5
0.64,0.05,0.066,0.78,10.6,5
0.54,0.04,0.049,0.58,11.4,5
0.57,0.1,0.048,0.76,10.8,6
0.22,0.49,0.039,0.56,12.4,6
0.54,0.04,0.049,0.58,11.4,5
0.65,0.06,0.05,0.54,11.95,5
0.54,0.26,0.089,0.59,9.7,5
0.31,0.09,0.066,0.7,10,7
0.43,0.02,0.08,0.81,10.6,6
0.54,0.26,0.089,0.59,9.7,5
0.74,0.03,0.054,0.63,11.5,6
0.895,0.04,0.068,0.58,10.8,6
0.74,0.03,0.054,0.63,11.5,6
0.725,0.04,0.076,0.53,9.6,5
0.82,0.29,0.083,0.53,9.4,5
0.585,0.18,0.078,0.54,9.8,5
0.44,0.39,0.077,0.69,11,6
0.38,0.57,0.106,0.55,11.4,6
0.76,0.02,0.078,0.63,9.95,3
0.81,0.05,0.07,0.66,10.8,6
0.38,0.57,0.106,0.55,11.4,6
0.27,0.6,0.074,0.72,10.6,6
0.18,0.4,0.062,0.7,11.1,5
0.36,0.21,0.047,0.77,9.7,6
0.69,0.04,0.068,0.67,9.8,5
0.79,0.04,0.061,0.65,10.4,6
0.56,0.15,0.078,0.6,10.5,6
0.84,0.21,0.074,0.72,9.233333333,6
0.84,0.21,0.074,0.72,9.25,6
0.32,0.25,0.071,0.97,10.6,5
0.53,0.06,0.063,0.83,10.3,6
0.47,0.46,0.114,0.63,10.5,5
0.7,0.08,0.106,0.58,10.2,5
0.53,0.06,0.063,0.83,10.3,6
0.48,0.2,0.082,0.43,9.05,4
0.32,0.25,0.071,0.97,10.6,5
0.48,0.25,0.076,0.6,10.4,5
0.42,0.19,0.075,0.78,10,6
0.48,0.08,0.064,0.64,9.7,5
0.47,0.08,0.064,0.65,9.6,6
0.53,0.07,0.071,0.66,10.8,6
0.29,0.49,0.096,0.67,10.1,6
0.69,0.08,0.063,0.6,10.2,6
0.44,0.09,0.063,0.69,11.3,6
0.705,0.1,0.081,0.66,10.2,5
0.53,0.13,0.058,0.68,9.9,6
0.39,0.3,0.074,0.61,9,5
0.56,0.14,0.064,0.62,11.7,7
0.55,0.13,0.075,0.59,9.7,6
0.53,0.08,0.077,0.68,10.3,6
0.58,0.08,0.059,0.64,10.2,6
0.64,0.09,0.081,0.63,12,5
0.39,0.32,0.065,0.78,9.9,5
0.52,0.08,0.071,0.63,11.6,6
0.25,0.29,0.054,0.76,10.9,7
0.855,0.02,0.064,0.56,10.75,6
0.44,0.42,0.064,0.57,10.4,6
0.37,0.43,0.063,0.81,11.2,7
0.63,0.33,0.059,0.64,10.1,6
0.57,0.02,0.072,0.61,10.2,5
0.6,0.1,0.048,0.51,12.1,5
0.4,0.5,0.099,0.58,10.4,5
0.36,0.3,0.074,0.7,11.4,8
0.68,0,0.087,0.53,9.5,5
0.67,0,0.083,0.54,9.4,5
0.68,0.01,0.103,0.66,11.3,6
0.735,0,0.08,0.6,9.4,5
0.855,0.02,0.062,0.6,11,6
0.56,0.17,0.065,0.68,10.55,7
0.88,0.04,0.066,0.56,9.9,5
0.855,0.02,0.062,0.6,11,6
0.63,0.33,0.235,0.56,9.5,5
0.6,0.26,0.08,0.52,9.9,5
0.6,0.26,0.08,0.52,9.9,5
0.6,0.26,0.08,0.52,9.9,5
0.695,0.13,0.076,0.54,10.1,5
0.695,0.13,0.076,0.54,10.1,5
0.695,0.13,0.076,0.54,10.1,5
0.67,0.02,0.061,0.82,10.9,6
0.16,0.64,0.059,0.71,11.2,6
0.695,0.13,0.076,0.54,10.1,5
0.56,0.13,0.077,0.59,9.2,5
0.51,0.14,0.056,0.57,11.5,6
0.36,0.53,0.23,0.93,12.4,6
0.38,0.14,0.038,0.65,11.1,6
0.69,0.32,0.069,0.51,9.5,5
0.58,0.2,0.075,0.67,12.5,6
0.31,0.78,0.074,0.48,10.5,6
0.52,0.4,0.06,0.64,11.8,6
0.3,0.63,0.081,0.78,10.8,6
0.7,0.15,0.076,0.6,11.9,6
0.67,0.15,0.118,0.67,11.3,6
0.56,0.09,0.053,0.6,11.3,5
0.35,0.33,0.068,0.6,11.9,6
0.56,0.09,0.053,0.6,11.3,5
0.715,0.1,0.053,0.5,11.9,5
0.46,0.29,0.074,0.62,9.8,5
0.32,0.44,0.061,0.8,11.6,7
0.39,0.44,0.066,0.84,11.5,6
0.31,0.41,0.065,0.85,11.4,6
0.61,0.11,0.066,0.66,10.9,6
0.66,0.33,0.068,0.78,12.8,6
0.725,0.2,0.073,0.54,9.2,5
0.55,0.15,0.077,0.82,11.6,6
0.74,0.09,0.089,0.56,11.6,6
0.51,0.13,0.076,0.75,11,6
0.62,0.08,0.068,0.82,9.5,6
0.6,0.08,0.09,0.58,10.5,5
0.55,0.1,0.062,0.76,11.2,6
0.51,0.13,0.076,0.75,11,6
0.645,0.12,0.075,0.71,10.2,5
0.31,0.47,0.067,0.66,11,6
